"ID","Name","Title","Role","Origin","Current identity / powers","Current movement","Declared speed","Flight tier","Flight tier basis","Current flight visual","Current evade / sprint","Current movement extras","Current body model","Current frame (derived)","Current model (resolved defaults)","Current build / gear","Current carried items","Current colors","Current threat","Current strength","Current power-up","Current abilities","Before front","Before rear","Before archive commit","After status","Desired look / silhouette","Desired hair / face","Desired costume","Desired emblem","Desired colors / materials","Desired gear","Desired sprint animation","Desired flight animation","Desired infected identity","Desired power visuals","Design approval","Animation approval","Reviewer notes","After evidence link","Definition source","Appearance source","Scope"
"stefanos","KING STEFANOS","The First Celebrity Superweapon","Formed Explosives","altered","President of Greece. His energy takes SHAPE before it strikes — jagged motes, concussive forms, and one shape he can never put down: her face, arriving slow, leaving nothing.","Flight","33","3","Explicit source","martial","{""kind"":""dash"",""name"":""Propulsion Step""}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""collar"":1,""gaunt"":1}","Not declared","{""primary"":""#2a35f0"",""secondary"":""#e6e4ce"",""accent"":""#ffd557"",""skin"":""#d8b088""}","Very High","5","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""These Wounds Will Not Heal"",""cost"":26,""cd"":20,""mult"":1.65,""dur"":10,""color"":""#ffd24a"",""color2"":""#ffffff""}}","LMB: Formed Charge (projectile)
RMB: Mote Storm (volley)
Q: Concussive Form (cone)
E: Pressure Sphere (charge)
SHIFT: Propelled Slip (dash)
R: THE MARLETTA (facebomb)","../marketing/roster-before-rebuild/stefanos-front.png","../marketing/roster-before-rebuild/stefanos-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"sandra","SANDRA","The First Jackal","LSW Hunter","skilled","The first Jackal. Hunts living superweapons for a living — twin pistols, a ring that sees through every camera on Earth, and a beacon she plants BEFORE the fight starts.","Ground","37","0","Explicit source","martial","{""kind"":""dash"",""name"":""Jackal Roll"",""iframes"":0.3,""cost"":4,""cd"":0.55}","{}","Not declared","{""scale"":0.97,""bulk"":0.9,""broad"":0.96,""head"":1.03,""neck"":0.92,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""coat"":1,""band"":1,""weaponL"":""pistol"",""weaponR"":""pistol""}","[{""kind"":""beacon"",""name"":""Extraction Beacon"",""cd"":3.5}]","{""primary"":""#31344a"",""secondary"":""#6b5824"",""accent"":""#ffb649"",""skin"":""#7a5238""}","High","4","Not declared","LMB: Twin Pistols (rifle)
RMB: Suppressed SMG (rifle)
Q: The Ring Sees (buff)
E: Pistol Whip (melee)
H: Tracker Round (projectile)
SHIFT: Slip the Frame (dash)
R: Clean Extraction (rush)","../marketing/roster-before-rebuild/sandra-front.png","../marketing/roster-before-rebuild/sandra-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"ironclad","IRONCLAD","The Suit","Powered Armor","tech","A genius in a furnace-gold shell. Repulsors, a chest unibeam, and enough thrust to argue with gravity.","Flight","30","3","Explicit source","thruster","{""kind"":""dash"",""name"":""Thruster Slip""}","{}","Not declared","{""scale"":1.06,""bulk"":1.22,""broad"":1.2,""head"":0.9,""neck"":1.32,""stance"":1.09}","{""costume"":""plated"",""flightStyle"":""thruster"",""hairColor"":""#17242b"",""definition"":0.2}","{""helmet"":1,""visor"":1,""pauldron"":2,""gaunt"":1}","Not declared","{""primary"":""#e60642"",""secondary"":""#f7691b"",""accent"":""#ffdb81"",""skin"":""#8a919c""}","High","7","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Overpower"",""cost"":24,""cd"":18,""mult"":1.55,""dur"":10,""color"":""#ffd97a"",""color2"":""#fff""}}","LMB: Repulsor Bolts (rifle)
RMB: Unibeam (beam)
Q: Micro-Missiles (projectile)
E: Flare Vent (cone)
SHIFT: Vector Thrust (dash)
R: Housewarming Party (beam)","../marketing/roster-before-rebuild/ironclad-front.png","../marketing/roster-before-rebuild/ironclad-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"rage","RAGE","The Monster in the Man","Pure Strength","altered","The angrier he gets, the simpler the fight becomes. Strength 10. Leaps counties. Only knows haymakers.","Charged leap","30","0","Explicit source","martial","{""kind"":""leap"",""name"":""Rage Leap"",""up"":52,""fwd"":74}","{""traversalLeap"":{""chargeTime"":0.65,""cost"":24,""upMin"":26,""upMax"":88,""forwardMin"":30,""forwardMax"":150,""turnBudget"":0.3,""turnRate"":0.5}}","Not declared","{""scale"":1.2,""bulk"":1.42,""broad"":1.34,""head"":0.84,""neck"":1.5,""stance"":1.28}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""band"":1}","Not declared","{""primary"":""#28bb39"",""secondary"":""#3d485d"",""accent"":""#92e68d"",""skin"":""#5faf6a""}","Very High","10","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Fury Rising"",""cost"":20,""cd"":16,""mult"":1.5,""dur"":9,""heal"":40,""color"":""#8fe08a"",""color2"":""#fff""}}","LMB: Smash (melee)
RMB: Thunder Clap (cone)
Q: Boulder (projectile)
E: Rampage (rush)
SHIFT: Bull Charge (dash)
R: WORLD BREAKER (nova)","../marketing/roster-before-rebuild/rage-front.png","../marketing/roster-before-rebuild/rage-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"stormcall","STORMCALL","Heir of Thunder","Storm God","spiritual","An axe that remembers lightning. Skies answer when he shouts.","Flight","31","3","Explicit source","hammer","{""kind"":""dash"",""name"":""Storm Step""}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""hammer"",""hairColor"":""#17242b"",""definition"":0.85}","{""helmet"":1,""pauldron"":2,""gaunt"":1,""weaponR"":""axe""}","Not declared","{""primary"":""#3f4390"",""secondary"":""#c0400f"",""accent"":""#86d6ff"",""skin"":""#e8c39a"",""cape"":""#c0400f""}","Very High","9","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Wrath of the Sky"",""cost"":26,""cd"":20,""mult"":1.6,""dur"":11,""color"":""#7fd4ff"",""color2"":""#fff""}}","LMB: Axe Cleave (melee)
RMB: Hurled Axe (projectile)
Q: Godblast (charge)
E: Tempest Breath (cone)
SHIFT: Bolt Dash (dash)
R: SKYFALL (meteor)","../marketing/roster-before-rebuild/stormcall-front.png","../marketing/roster-before-rebuild/stormcall-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"webline","WEBLINE","The Neighborhood Ghost","Web Acrobat","altered","Too fast to hit, too chatty to ignore. His webs pull you in — the wall does the rest.","Grapple","42","0","Explicit source","martial","{""kind"":""leap"",""name"":""Web Vault"",""up"":46,""fwd"":70}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""band"":1}","Not declared","{""primary"":""#f68005"",""secondary"":""#173f59"",""accent"":""#e4ffff"",""skin"":""#e8c39a""}","High","6","Not declared","LMB: Web Snare (tentacle)
RMB: Spider Flurry (rush)
Q: Web Darts (projectile)
E: Sting Kick (melee)
H: Danger Sense (buff)
SHIFT: Web Zip (grapple)","../marketing/roster-before-rebuild/webline-front.png","../marketing/roster-before-rebuild/webline-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"ripclaw","RIPCLAW","The Best At What He Does","Regenerating Slasher","mutated","Claws, healing, and a very short temper. What he does isn't very nice.","Ground","35","0","Explicit source","martial","{""kind"":""dash"",""name"":""Feral Weave""}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""mane"":1,""gaunt"":1}","Not declared","{""primary"":""#f7b41b"",""secondary"":""#3d485d"",""accent"":""#ffe270"",""skin"":""#e8c39a""}","High","6","{""schema"":1,""sourceSlot"":""r"",""ability"":{""type"":""buff"",""name"":""Berserker Rage"",""cost"":26,""cd"":20,""mult"":1.75,""dur"":9,""heal"":25,""color"":""#ffe066"",""color2"":""#fff""}}","LMB: Ripping Claws (melee)
RMB: Lunge Shred (melee)
Q: Berserker Slashes (rush)
E: Intimidate (cone)
H: Regeneration (buff)
SHIFT: Pounce Step (dash)","../marketing/roster-before-rebuild/ripclaw-front.png","../marketing/roster-before-rebuild/ripclaw-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"majesty","MAJESTY","Higher. Further. Faster.","Cosmic Powerhouse","altered","A star wearing a person. When she goes binary, look away.","Flight","34","3","Explicit source","twin","{""kind"":""dash"",""name"":""Photon Slip""}","{""afterburner"":{""mult"":2.1,""kiPerSec"":14,""wake"":[""#eaf2ff"",""#c9d9ff""]}}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""twin"",""hairColor"":""#17242b"",""definition"":0.85}","{""wings"":1,""band"":1,""pauldron"":1,""gaunt"":1}","Not declared","{""primary"":""#e6060f"",""secondary"":""#1544a0"",""accent"":""#ffd557"",""skin"":""#e8c39a""}","Extreme","8","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""BINARY"",""cost"":28,""cd"":20,""mult"":1.8,""dur"":10,""color"":""#ffd24a"",""color2"":""#ffffff""}}","LMB: Photon Stream (beam)
RMB: Star Barrage (volley)
Q: Nova Fist (charge)
E: Comet Punch (melee)
SHIFT: Light Speed (dash)
R: Supernova Lance (beam)","../marketing/roster-before-rebuild/majesty-front.png","../marketing/roster-before-rebuild/majesty-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"mystward","MYSTWARD","Keeper of the Seals","Mystic Defender","spiritual","Doors, wards, and sigils. He was a surgeon once; now he closes wounds in the world. The whip drinks the power right out of you.","Levitation","31","2","Explicit source","martial","{""kind"":""blink"",""name"":""Fold Step"",""range"":12,""cost"":6,""cd"":0.7,""iframes"":0.18}","{}","Not declared","{""scale"":0.97,""bulk"":0.9,""broad"":0.96,""head"":1.03,""neck"":0.92,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""hood"":1,""collar"":1,""coat"":1}","Not declared","{""primary"":""#c00f0f"",""secondary"":""#3d485d"",""accent"":""#ffb649"",""skin"":""#d8b088""}","Very High","4","Not declared","LMB: Crimson Bands (projectile)
RMB: Seraphim Shield (construct)
Q: Fold Space (teleport)
E: Eldritch Whip (beam)
H: Vishanti Ward (buff)
SHIFT: Cloak Drift (dash)
R: Sigil Rain (meteor)","../marketing/roster-before-rebuild/mystward-front.png","../marketing/roster-before-rebuild/mystward-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"onyx","ONYX","The Kinetic King","Kinetic Duelist","tech","A king in a suit that drinks the hit and hands it back. Claws first, questions later.","Combat leap","38","0","Explicit source","martial","{""kind"":""leap"",""name"":""Panther Pounce"",""up"":42,""fwd"":66}","{}","Not declared","{""scale"":1.06,""bulk"":1.15,""broad"":1.13,""head"":0.94,""neck"":1.18,""stance"":1.09}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""helmet"":1,""visor"":1,""collar"":1}","Not declared","{""primary"":""#2b3247"",""secondary"":""#3d485d"",""accent"":""#cad0db"",""skin"":""#5a3a28""}","High","7","Not declared","LMB: Kinetic Claws (melee)
RMB: Hunt Sequence (rush)
Q: Kimoyo Dart (projectile)
E: Sonic Overload (cone)
H: Kinetic Release (buff)
SHIFT: Shadow Step (dash)
R: Kinetic Burst (charge)","../marketing/roster-before-rebuild/onyx-front.png","../marketing/roster-before-rebuild/onyx-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"chainfire","CHAINFIRE","The Debt Collector","Hellfire Chains","spiritual","A skull full of fire and a chain that always finds its debtor. It drags you back to the wall you owe.","Limited flight","31","1","Explicit source","martial","{""kind"":""dash"",""name"":""Burnout"",""dtype"":""fire""}","{""flyStyle"":""fire""}","Not declared","{""scale"":1.06,""bulk"":1.15,""broad"":1.13,""head"":0.94,""neck"":1.18,""stance"":1.09}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""horns"":1,""gaunt"":1,""coat"":1}","Not declared","{""primary"":""#31434a"",""secondary"":""#6b2c24"",""accent"":""#ff853b"",""skin"":""#c9bfa9""}","Very High","7","Not declared","LMB: Hellfire Chain (tentacle)
RMB: Soul Furnace (cone)
Q: Brimstone Ball (projectile)
E: Chain Lash (melee)
H: Penance Stare (buff)
SHIFT: Hell Ride (dash)
R: Rain of Hellfire (meteor)","../marketing/roster-before-rebuild/chainfire-front.png","../marketing/roster-before-rebuild/chainfire-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"tempest","TEMPEST","Weather Sovereign","Weather Control","mutated","The forecast answers to her. Hail, gale, and lightning filed under mood.","Flight","32","3","Explicit source","martial","{""kind"":""dash"",""name"":""Wind Shear""}","{}","Not declared","{""scale"":0.97,""bulk"":0.9,""broad"":0.96,""head"":1.03,""neck"":0.92,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""crest"":1,""collar"":1}","Not declared","{""primary"":""#e6e1ce"",""secondary"":""#3d455d"",""accent"":""#beeaff"",""skin"":""#6a4a3a""}","Very High","4","Not declared","LMB: Chain Lightning (beam)
RMB: Gale Force (cone)
Q: Hail Volley (volley)
E: Flash Freeze (cone)
H: Storm Domain (weather)
SHIFT: Tailwind (dash)
R: Stormfront (meteor)","../marketing/roster-before-rebuild/tempest-front.png","../marketing/roster-before-rebuild/tempest-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"knightfall","KNIGHTFALL","The Night Itself","Tactical Vigilante","skilled","No powers. A plan for yours, though. Grapnel to the roofline, cape-glide off it, and he is suddenly somewhere above you.","Glide / Grapple","37","0","Explicit source","martial","{""kind"":""leap"",""name"":""Grapnel Vault"",""up"":44,""fwd"":64}","{""glider"":true}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""hood"":1,""visor"":1,""collar"":1,""gaunt"":1,""coat"":1}","[{""kind"":""beacon"",""name"":""Line Beacon"",""cd"":3}]","{""primary"":""#2b3447"",""secondary"":""#3d4a5d"",""accent"":""#ffd557"",""skin"":""#e8c39a"",""cape"":""#212c44""}","Moderate","5","Not declared","LMB: Blade Fan (volley)
RMB: Cross Counter (melee)
Q: Smoke Vanish (teleport)
E: Caustic Charges (mine)
H: Grapnel Line (grapple)
SHIFT: Cape Slip (dash)
R: Wing Support (construct)","../marketing/roster-before-rebuild/knightfall-front.png","../marketing/roster-before-rebuild/knightfall-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"aegis","AEGIS","Daughter of War","Warrior Princess","spiritual","Bracelets that hand bullets back and a golden lasso that ends arguments against the nearest wall.","Levitation","35","2","Explicit source","martial","{""kind"":""dash"",""name"":""Amazon Step""}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""band"":1,""pauldron"":1,""gaunt"":1,""weaponL"":""sword"",""shield"":1}","Not declared","{""primary"":""#e60653"",""secondary"":""#156ea0"",""accent"":""#ffd557"",""skin"":""#d8b088""}","Very High","9","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Blessing of Ares"",""cost"":24,""cd"":18,""mult"":1.6,""dur"":10,""color"":""#ffd24a"",""color2"":""#fff""}}","LMB: God-Forged Blade (melee)
RMB: Golden Lasso (tentacle)
Q: Aegis Wave (charge)
E: Shield Shout (cone)
SHIFT: War Stride (dash)
R: Wrath of Themyscira (charge)","../marketing/roster-before-rebuild/aegis-front.png","../marketing/roster-before-rebuild/aegis-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"olympus","OLYMPUS","The Word Made Lightning","Divine Champion","spiritual","Say the word and the sky says it back. A kid's grin wearing a god's wattage.","Flight","33","3","Explicit source","martial","{""kind"":""dash"",""name"":""Bolt Step""}","{""afterburner"":{""mult"":2.1,""kiPerSec"":14,""wake"":[""#ffffff"",""#ffe9b0""]}}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""wings"":1,""collar"":1,""gaunt"":1}","Not declared","{""primary"":""#f63705"",""secondary"":""#e6e2ce"",""accent"":""#ffe270"",""skin"":""#e8c39a"",""cape"":""#e6e2ce""}","Very High","8","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""THE WORD"",""cost"":28,""cd"":20,""mult"":1.75,""dur"":10,""heal"":25,""color"":""#ffe066"",""color2"":""#ffffff""}}","LMB: Living Lightning (beam)
RMB: Thunder Fist (melee)
Q: Thunderbolt (charge)
E: Static Storm (volley)
SHIFT: Mercury Step (dash)
R: JUDGMENT BOLT (charge)","../marketing/roster-before-rebuild/olympus-front.png","../marketing/roster-before-rebuild/olympus-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"marshal","MARSHAL","The Last Son of a Dead World","Phasing Telepath","alien","Walks through walls, reads the room literally, hits like a freight train from a world that no longer exists.","Flight","33","3","Explicit source","martial","{""kind"":""phase"",""name"":""Ghost Drift""}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""coat"":1,""collar"":1}","Not declared","{""primary"":""#28bb39"",""secondary"":""#31384a"",""accent"":""#86d6ff"",""skin"":""#5faf6a"",""cape"":""#1534a0""}","Very High","8","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Resolve of the Dead"",""cost"":24,""cd"":18,""mult"":1.55,""dur"":10,""color"":""#7fd4ff"",""color2"":""#fff""}}","LMB: Alien Vision (beam)
RMB: Density Hammer (melee)
Q: Ghost Body (phase)
E: Mind Skip (teleport)
SHIFT: Wraith Dash (dash)
R: Dominion (mindcontrol)","../marketing/roster-before-rebuild/marshal-front.png","../marketing/roster-before-rebuild/marshal-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"circuit","CIRCUIT","Half Man, All Machine","Cybernetic Arsenal","tech","The accident left him half machine — the machine half never runs dry. BOOYAH is a technical term.","Levitation","28","2","Explicit source","thruster","{""kind"":""dash"",""name"":""Boost Vector""}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""plated"",""flightStyle"":""thruster"",""hairColor"":""#17242b"",""definition"":0.2}","{""tank"":1,""helmet"":1,""visor"":1,""pauldron"":2,""gun"":1}","Not declared","{""primary"":""#8da3a9"",""secondary"":""#31424a"",""accent"":""#86e7ff"",""skin"":""#5a3a28""}","High","8","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""System Surge"",""cost"":26,""cd"":20,""mult"":1.55,""dur"":10,""heal"":25,""color"":""#7fe6ff"",""color2"":""#fff""}}","LMB: Sonic Cannon (rifle)
RMB: White Noise Beam (beam)
Q: Shock Grapple (projectile)
E: Overload Vent (cone)
SHIFT: Servo Burst (dash)
R: BOOYAH Cannon (beam)","../marketing/roster-before-rebuild/circuit-front.png","../marketing/roster-before-rebuild/circuit-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"trench","TRENCH","King of the Drowned Court","Ocean Sovereign","mutated","A trident, a temper, and a court of things with too many teeth that answer when he whistles.","Ground","33","0","Explicit source","martial","{""kind"":""slide"",""name"":""Tidal Rush"",""slideT"":0.65,""power"":128}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""crest"":1,""pauldron"":1,""weaponR"":""spear""}","Not declared","{""primary"":""#f7df1b"",""secondary"":""#017dbc"",""accent"":""#86e7ff"",""skin"":""#d8b088""}","High","8","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""King's Tide"",""cost"":24,""cd"":18,""mult"":1.55,""dur"":10,""heal"":25,""color"":""#7fe6ff"",""color2"":""#fff""}}","LMB: Trident Pierce (melee)
RMB: The Drowned Court (summon)
Q: Riptide (cone)
E: Harpoon Throw (projectile)
SHIFT: Current Ride (dash)
R: MAELSTROM (growingorb)","../marketing/roster-before-rebuild/trench-front.png","../marketing/roster-before-rebuild/trench-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"decibel","DECIBEL","The Cry That Levels Blocks","Sonic Screamer","altered","Trained fists and a voice that files buildings under rubble. You'll hear her before you see her. Everyone does.","Ground","37","0","Explicit source","martial","{""kind"":""dash"",""name"":""Offbeat""}","{}","Not declared","{""scale"":0.97,""bulk"":0.9,""broad"":0.96,""head"":1.03,""neck"":0.92,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""band"":1}","Not declared","{""primary"":""#313f4a"",""secondary"":""#6b3824"",""accent"":""#ffe270"",""skin"":""#e8c39a""}","Moderate","4","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Crescendo"",""cost"":22,""cd"":16,""mult"":1.5,""dur"":9,""color"":""#ffe066"",""color2"":""#fff""}}","LMB: Siren Scream (cone)
RMB: Combat Cadence (rush)
Q: Heel Turn (melee)
E: Focused Note (projectile)
SHIFT: Staccato Step (dash)","../marketing/roster-before-rebuild/decibel-front.png","../marketing/roster-before-rebuild/decibel-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"coldsnap","COLDSNAP","The Absolute Zero Rule","Cryo Gunslinger","tech","Rules: plan the job, freeze the hero, walk away. The gun doesn't miss because he never hurries.","Ground","32","0","Explicit source","martial","{""kind"":""slide"",""name"":""Ice Slide"",""slideT"":0.6,""power"":122}","{}","Not declared","{""scale"":0.92,""bulk"":0.79,""broad"":0.9,""head"":1.09,""neck"":0.84,""stance"":0.94}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""helmet"":1,""visor"":1,""gun"":1}","Not declared","{""primary"":""#2aa3f0"",""secondary"":""#e6d7ce"",""accent"":""#beeaff"",""skin"":""#e8c39a""}","Moderate","3","Not declared","LMB: Cold Gun (rifle)
RMB: Flash Frost (cone)
Q: Glacier Wall (construct)
E: Cryo Charge (projectile)
H: Cold Read (buff)
SHIFT: Getaway (dash)
R: Absolute Frost (charge)","../marketing/roster-before-rebuild/coldsnap-front.png","../marketing/roster-before-rebuild/coldsnap-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"foundry","CRUCIBLE","The Self-Made Man of Steel","Hammer Engineer","tech","Built the suit, forged the hammer, earned the S he paints on it. The hammer comes back. Eventually.","Limited flight","27","1","Explicit source","thruster","{""kind"":""leap"",""name"":""Rocket Boots"",""up"":46,""fwd"":62}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""plated"",""flightStyle"":""thruster"",""hairColor"":""#17242b"",""definition"":0.2}","{""tank"":1,""helmet"":1,""pauldron"":2,""gaunt"":1,""weaponR"":""axe""}","Not declared","{""primary"":""#627e8b"",""secondary"":""#c00f36"",""accent"":""#cad0db"",""skin"":""#5a3a28""}","High","9","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Tempered"",""cost"":24,""cd"":18,""mult"":1.5,""dur"":10,""heal"":30,""color"":""#c9cfd9"",""color2"":""#fff""}}","LMB: Foundry Hammer (melee)
RMB: Hammer Toss (projectile)
Q: Rivet Gun (rifle)
E: Forge Vent (cone)
SHIFT: Piston Drive (dash)
R: Orbital Forge (meteor)","../marketing/roster-before-rebuild/foundry-front.png","../marketing/roster-before-rebuild/foundry-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
